City,Street
Χαλκίδα,25ης Μαρτίου
Χαλκίδα,28ης Οκτωβρίου
Χαλκίδα,7ου Συντάγματος
Χαλκίδα,Αβάντων
Χαλκίδα,Αβέρωφ
Χαλκίδα,Αγάθωνος
Χαλκίδα,Αγάπης
Χαλκίδα,Αγγελάτου
Χαλκίδα,Αγγελέτου Αν.
Χαλκίδα,Αγγελόπουλου Γ.
Χαλκίδα,Αλοννήσου
Χαλκίδα,Αλτέας
Χαλκίδα,Αμαζόνων
Χαλκίδα,Αμαράντων
Χαλκίδα,Αμαρυλλίδος
Χαλκίδα,Αμαρυνθίων
Χαλκίδα,Αμοργού
Χαλκίδα,Αμπελακίων
Χαλκίδα,Αμυγδαλιάς
Χαλκίδα,Αμφιδάμαντος
Χαλκίδα,Αγίας Άννης
Χαλκίδα,Αγίας Μαρίνης
Χαλκίδα,Αγίας Παρασκευής
Χαλκίδα,Αγίου Ιωάννη
Χαλκίδα,Αγίου Μάρκου
Χαλκίδα,Αγίου Φανουρίου
Χαλκίδα,Αγίων Σαράντα
Χαλκίδα,Αγράμπελης
Χαλκίδα,Αγράφων
Χαλκίδα,Αζαλέας
Χαλκίδα,Αθηνών - Χαλκίδος
Χαλκίδα,Αιγίνης
Χαλκίδα,Αιδηψού
Χαλκίδα,Αισχύλου
Χαλκίδα,Ακακίας
Χαλκίδα,Αλεξίου Ιωάννη
Χαλκίδα,Αλιβερίου
Χαλκίδα,Αλικαρνασσού
Χαλκίδα,Αλκμέωνος
Χαλκίδα,Αλόης
Χαλκίδα,Αναγνωσταρά
Χαλκίδα,Αναγνωστοπούλου
Χαλκίδα,Αναπαύσεως
Χαλκίδα,Αναστάσεως
Χαλκίδα,Ανατόλιου
Χαλκίδα,Άνδρου
Χαλκίδα,Ανδρούτσου Οδυσσέα
Χαλκίδα,Ανδρούτσου
Χαλκίδα,Ανεμώνας
Χαλκίδα,Ανθέων
Χαλκίδα,Αντιγόνου
Χαλκίδα,Αντιόπης
Χαλκίδα,Αντιοχείας
Χαλκίδα,Αντωνίου
Χαλκίδα,Απόλλωνος
Χαλκίδα,Αποστόλη
Χαλκίδα,Αποστολίδου Γ.
Χαλκίδα,Αργοναυτών
Χαλκίδα,Αργυροκαστρίτου Γ.
Χαλκίδα,Αργυροκάστρου
Χαλκίδα,Αργυρού
Χαλκίδα,Αρεθούσης
Χαλκίδα,Αριστοτέλους
Χαλκίδα,Αρκαδίου
Χαλκίδα,Αρμπαρόριζας
Χαλκίδα,Αρνίδη Φραγκούλη
Χαλκίδα,Αρτέμιδος
Χαλκίδα,Αρτεμισίου
Χαλκίδα,Αρχεμάχους
Χαλκίδα,Λεωφόρος Αρχιεπισκόπου Μακάριου
Χαλκίδα,Ασκληπιανών
Χαλκίδα,Ασωπού
Χαλκίδα,Αυλίδας - Δροσιάς
Χαλκίδα,Αυλίδος
Χαλκίδα,Λεωφόρος Αυλίδος
Χαλκίδα,Αυλωναρίου
Χαλκίδα,Αφεντάκη Ηλία
Χαλκίδα,Αφράτη Μ.
Χαλκίδα,Αφρατίου
Χαλκίδα,Αχαιού
Χαλκίδα,Αχελώου
Χαλκίδα,Αώου
Χαλκίδα,Βαθροβουνίου
Χαλκίδα,Βάκη Αλ.
Χαλκίδα,Βαλσαμά Αρ.
Χαλκίδα,Βαρατάση Π.
Χαλκίδα,Βάρναλη Κώστα
Χαλκίδα,Βασιλείου Δημητρίου
Χαλκίδα,Βασιλικού
Χαλκίδα,Βεΐκου
Χαλκίδα,Βελισσαρίου Ιωάννη
Χαλκίδα,Βενέζη Ηλία
Χαλκίδα,Βενιζέλου Ελευθέριου
Χαλκίδα,Βέργη
Χαλκίδα,Βεργίνας
Χαλκίδα,Βερμίου
Χαλκίδα,Βιολέττας
Χαλκίδα,Βιτάλων
Χαλκίδα,Βλαχάβα
Χαλκίδα,Βορείου Ηπείρου
Χαλκίδα,Βουδικλάρη Θεοδ.
Χαλκίδα,Λεωφόρος Βουδούρη
Χαλκίδα,Βουζόπουλου Π.
Χαλκίδα,Βουκαμβίλιας
Χαλκίδα,Βρυσακίων
Χαλκίδα,Βύρωνος
Χαλκίδα,Βυσσινιάς
